date	software	job
2006-09-01	matlab	0.157304033947912
2006-10-01	matlab	0.157486227151253
2006-11-01	matlab	0.154118778753222
2006-12-01	matlab	0.144918021984487
2007-01-01	matlab	0.140165716696897
2007-02-01	matlab	0.14114138313222
2007-03-01	matlab	0.139849756370406
2007-04-01	matlab	0.134751522157518
2007-06-01	matlab	0.169010244963902
2007-07-01	matlab	0.15869563873389
2007-08-01	matlab	0.1632726971821
2007-09-01	matlab	0.175699891160442
2007-10-01	matlab	0.182084095810203
2007-11-01	matlab	0.177305245488902
2007-12-01	matlab	0.173022365554475
2008-01-01	matlab	0.171698041265155
2008-02-01	matlab	0.166113164639857
2008-03-01	matlab	0.180105920204535
2008-04-01	matlab	0.189990298420883
2008-05-01	matlab	0.197706418743437
2008-06-01	matlab	0.200180792973652
2008-07-01	matlab	0.199018239577625
2008-08-01	matlab	0.19128232211778
2008-09-01	matlab	0.186277466883294
2008-10-01	matlab	0.19477093495006
2008-11-01	matlab	0.223149362195227
2008-12-01	matlab	0.23843622536599
2009-01-01	matlab	0.230966204795227
2009-02-01	matlab	0.223526053589499
2009-03-01	matlab	0.215373086360764
2009-04-01	matlab	0.204908607366587
2009-05-01	matlab	0.201919190018735
2009-06-01	matlab	0.193987335478282
2009-07-01	matlab	0.190100864688401
2009-08-01	matlab	0.201671055974642
2009-09-01	matlab	0.22168993112685
2009-10-01	matlab	0.2293338092642
2009-11-01	matlab	0.229761109881623
2009-12-01	matlab	0.228908493322196
2010-01-01	matlab	0.230162708952387
2010-02-01	matlab	0.21043553146969
2010-03-01	matlab	0.194316642746957
2010-04-01	matlab	0.198727236544511
2010-05-01	matlab	0.204949888615274
2010-06-01	matlab	0.205662664944773
2010-07-01	matlab	0.209042884729117
2010-08-01	matlab	0.221112489814081
2010-09-01	matlab	0.222429123486158
2010-10-01	matlab	0.222145314901432
2010-11-01	matlab	0.221871727395107
2010-12-01	matlab	0.211259568703103
2011-01-01	matlab	0.209966552668496
2011-02-01	matlab	0.203856630161456
2011-03-01	matlab	0.190762237924582
2011-04-01	matlab	0.188935393819511
2011-05-01	matlab	0.201444951827685
2011-06-01	matlab	0.204294846493675
2011-07-01	matlab	0.195229990374165
2011-08-01	matlab	0.190148080116587
2011-09-01	matlab	0.183682424387685
2011-10-01	matlab	0.195276580629594
2011-11-01	matlab	0.193345392214439
2011-12-01	matlab	0.195315132949582
2012-01-01	matlab	0.198070686069594
2012-02-01	matlab	0.192899733349403
2012-03-01	matlab	0.196998286554415
2012-04-01	matlab	0.205585083982697
2012-05-01	matlab	0.205660997817422
2012-06-01	matlab	0.189107415561337
2012-07-01	matlab	0.177328962360143
2012-08-01	matlab	0.181616704749344
2012-09-01	matlab	0.194476557968735
2012-10-01	matlab	0.182336695373986
2012-11-01	matlab	0.188794313167446
2012-12-01	matlab	0.191213255413246
2013-01-01	matlab	0.175175341447554
2013-02-01	matlab	0.174977221223986
2013-03-01	matlab	0.179262234684487
2013-04-01	matlab	0.181667264355609
2013-05-01	matlab	0.166141743965871
2013-06-01	matlab	0.153280749558115
2013-07-01	matlab	0.147719093635203
2013-08-01	matlab	0.152601692863962
2013-09-01	matlab	0.149777549361516
2013-10-01	matlab	0.138262909140215
2013-11-01	matlab	0.140485993692422
2013-12-01	matlab	0.139375716646897
2014-01-01	matlab	0.136807596273329
2014-02-01	matlab	0.135420308156384
2014-03-01	matlab	0.132845638353938
2014-04-01	matlab	0.134987301597136
2014-05-01	matlab	0.126376985765155
2014-06-01	matlab	0.12051941473747
2014-07-01	matlab	0.12228260037852
2014-08-01	matlab	0.122369529161814
2014-09-01	matlab	0.126197968042482
2014-10-01	matlab	0.124304289992721
2014-11-01	matlab	0.115666784107518
2014-12-01	matlab	0.119899501370764
2015-01-01	matlab	0.125336618911217
2005-01-01	minitab	0.0199068617205869
2005-02-01	minitab	0.0229966260486908
2005-03-01	minitab	0.0323376021820568
2005-04-01	minitab	0.0325849293954974
2005-05-01	minitab	0.0258067846262739
2005-06-01	minitab	0.0217263347900258
2005-07-01	minitab	0.0221907899212575
2005-08-01	minitab	0.0251070426118217
2005-09-01	minitab	0.0266642190857235
2005-10-01	minitab	0.0258874383821016
2005-11-01	minitab	0.0309161040158915
2005-12-01	minitab	0.0352483243601964
2006-01-01	minitab	0.0329714312796512
2006-02-01	minitab	0.0311979982808915
2006-03-01	minitab	0.0280560871943475
2006-04-01	minitab	0.0284119554352907
2006-05-01	minitab	0.0275222578548234
2006-06-01	minitab	0.0289868724354134
2006-07-01	minitab	0.0283112326638889
2006-08-01	minitab	0.0264108676604565
2006-09-01	minitab	0.0246018775135228
2006-10-01	minitab	0.0265725609590762
2006-11-01	minitab	0.0292681192257881
2006-12-01	minitab	0.0270986583724496
2007-01-01	minitab	0.0262780814060465
2007-02-01	minitab	0.028080111200758
