	AM-F10-T1	AM-F10-T2	DA-AD-1	DA-AD-2	DA-AD-3	DA-AD-4	ES-AD-1	ES-AD-2	ES-AD-3	ES-AD-4	FR-AD-1	FR-AD-2	FR-AD-3	FR-AD-4	FR-AD-5	FR-AD-6	FR-AD-7	FR-AD-8	IT-AD-1	IT-AD-2	IT-AD-3	IT-AD-4	IT-AD-5	IT-AD-6	JP-AD-1	JP-AD-2	JP-AD-3	JP-AD-4	JP-AD-5	JP-AD-6	JP-AD-7	JP-AD-8	JP-AD-9
Erwinia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000775	0.00001019	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00002124	0.00002328	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Escherichia/Shigella	0.00014152	0.00123483	0.00004405	0.00212751	0.00250316	0.00000624	0.00091207	0.00004538	0.00002784	0.00009076	0.00030038	0.00045420	0.00000000	0.00590702	0.00006469	0.00040554	0.00029503	0.00156570	0.01652006	0.03500444	0.00287044	0.00030524	0.02033290	0.00139779	0.00104637	0.01705974	0.00249338	0.00127593	0.00096908	0.00294430	0.00031351	0.00011033	0.00825083
Klebsiella	0.00000000	0.00000000	0.00000000	0.00002190	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000931	0.00000000	0.00000000	0.00000596	0.00000000	0.00006153	0.00000000	0.00000327	0.00000806	0.16508034	0.00457223	0.00000000	0.00001653	0.00000996	0.00080747	0.00069010	0.00932524	0.00118663	0.00010602	0.00032713	0.00000000	0.00000000	0.00000000
Lactobacillus	0.00036833	0.00016338	0.00026047	0.00006486	0.00010554	0.00073073	0.00000961	0.00001352	0.00004130	0.00019559	0.00009738	0.00003504	0.00003878	0.00019907	0.00002261	0.01057079	0.00016387	0.00014537	0.00004602	0.00122088	0.00002695	0.00699451	0.00066765	0.00021884	0.00008964	0.00010240	0.00000000	0.00002936	0.00008681	0.00003090	0.00000000	0.00012231	0.00054158
Pantoea	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000620	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00007826
Pectobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000187	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00002594	0.00000000	0.00000000	0.00000000	0.00000000	0.00003671	0.00000000	0.00000000	0.00000000	0.00000000	0.00000574	0.00000000	0.00001442	0.00000000	0.00000000	0.00000000	0.00004073	0.00000000	0.00000000	0.00000000	0.00002134	0.00000000	0.00000000
Photorhabdus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00002916	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Proteus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00001293	0.00000000	0.00000000	0.00000000	0.00000000	0.00001307	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Providencia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00001798	0.00000000	0.00000000	0.00000000	0.00000000
Salmonella	0.00000000	0.00000327	0.00000000	0.00000207	0.00000291	0.00000599	0.00000000	0.00000607	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00001153	0.00000000	0.00004505	0.00000000	0.00000770	0.00002355	0.00021507	0.00010504	0.00000000	0.00003878	0.00000223	0.00000000	0.00002517	0.00039815	0.00007825	0.00000000	0.00004142	0.00001179	0.00000000	0.00000000
